TriangularNumber({'a1': 7, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 7, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 7, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 7, 'a3': 8}})
TriangularNumber({'a1': 2, 'a2': 6, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 6, 'a3': 9}})
TriangularNumber({'a1': 4, 'a2': 6, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 6, 'a3': 9}})
TriangularNumber({'a1': 7, 'a2': 8, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 7, 'a2': 8, 'a3': 9}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 10}})
TriangularNumber({'a1': 3, 'a2': 5, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 5, 'a3': 9}})
TriangularNumber({'a1': 4, 'a2': 8, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 8, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 7, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 7, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 7, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 7, 'a3': 9}})
TriangularNumber({'a1': 1, 'a2': 5, 'a3': 6, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 5, 'a3': 6}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 10}})
TriangularNumber({'a1': 4, 'a2': 8, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 8, 'a3': 10}})
TriangularNumber({'a1': 4, 'a2': 5, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 5, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 5, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 5, 'a3': 8}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 9}})
TriangularNumber({'a1': 5, 'a2': 7, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 5, 'a2': 7, 'a3': 9}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 9}})
TriangularNumber({'a1': 2, 'a2': 6, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 6, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 6, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 6, 'a3': 9}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 7}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 8}})
TriangularNumber({'a1': 2, 'a2': 6, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 6, 'a3': 7}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 5}})
TriangularNumber({'a1': 3, 'a2': 4, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 4, 'a3': 10}})
TriangularNumber({'a1': 3, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 7, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 7, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 6, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 6, 'a3': 9}})
TriangularNumber({'a1': 3, 'a2': 4, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 4, 'a3': 7}})
TriangularNumber({'a1': 2, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 5, 'a2': 6, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 5, 'a2': 6, 'a3': 7}})
TriangularNumber({'a1': 1, 'a2': 4, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 4, 'a3': 5}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 7}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 9}})
TriangularNumber({'a1': 7, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 7, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 6, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 6, 'a3': 8}})
TriangularNumber({'a1': 6, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 6, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 10}})
TriangularNumber({'a1': 4, 'a2': 6, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 6, 'a3': 8}})
TriangularNumber({'a1': 8, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 8, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 5}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 9}})
TriangularNumber({'a1': 4, 'a2': 7, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 7, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 4, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 4, 'a3': 7}})
TriangularNumber({'a1': 3, 'a2': 5, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 5, 'a3': 7}})
TriangularNumber({'a1': 1, 'a2': 4, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 4, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 6, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 6}})
TriangularNumber({'a1': 2, 'a2': 7, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 7, 'a3': 9}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 5}})
TriangularNumber({'a1': 1, 'a2': 8, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 8, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 7, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 7, 'a3': 8}})
TriangularNumber({'a1': 2, 'a2': 3, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 3, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 4, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 4, 'a3': 5}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 10}})
TriangularNumber({'a1': 1, 'a2': 7, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 7, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 3, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 3, 'a3': 8}})
TriangularNumber({'a1': 8, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 8, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 7, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 7, 'a3': 8}})
TriangularNumber({'a1': 1, 'a2': 3, 'a3': 5, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 3, 'a3': 5}})
TriangularNumber({'a1': 1, 'a2': 2, 'a3': 4, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 2, 'a3': 4}})
TriangularNumber({'a1': 2, 'a2': 8, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 8, 'a3': 10}})
TriangularNumber({'a1': 2, 'a2': 4, 'a3': 7, 'u': MembershipFunctionNaive{'a1': 2, 'a2': 4, 'a3': 7}})
TriangularNumber({'a1': 1, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 1, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 4, 'a2': 5, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 5, 'a3': 8}})
TriangularNumber({'a1': 7, 'a2': 8, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 7, 'a2': 8, 'a3': 10}})
TriangularNumber({'a1': 8, 'a2': 9, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 8, 'a2': 9, 'a3': 10}})
TriangularNumber({'a1': 5, 'a2': 8, 'a3': 9, 'u': MembershipFunctionNaive{'a1': 5, 'a2': 8, 'a3': 9}})
TriangularNumber({'a1': 4, 'a2': 6, 'a3': 10, 'u': MembershipFunctionNaive{'a1': 4, 'a2': 6, 'a3': 10}})
TriangularNumber({'a1': 3, 'a2': 5, 'a3': 8, 'u': MembershipFunctionNaive{'a1': 3, 'a2': 5, 'a3': 8}})
